"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 25 06:55:49 UTC 2025","Thu Dec 25 06:56:00 UTC 2025","10723","tests","test_suite","","","","test_login_and_form[data9]",""
"passed","Thu Dec 25 06:55:38 UTC 2025","Thu Dec 25 06:55:49 UTC 2025","10634","tests","test_suite","","","","test_login_and_form[data8]",""
"passed","Thu Dec 25 06:55:27 UTC 2025","Thu Dec 25 06:55:38 UTC 2025","11204","tests","test_suite","","","","test_login_and_form[data7]",""
"passed","Thu Dec 25 06:56:45 UTC 2025","Thu Dec 25 06:56:46 UTC 2025","1046","tests","test_suite","","","","test_login_and_form[data14]",""
"passed","Thu Dec 25 06:54:41 UTC 2025","Thu Dec 25 06:54:41 UTC 2025","603","tests","test_suite","","","","test_login_and_form[data2]",""
"passed","Thu Dec 25 06:55:15 UTC 2025","Thu Dec 25 06:55:26 UTC 2025","11189","tests","test_suite","","","","test_login_and_form[data6]",""
"passed","Thu Dec 25 06:54:30 UTC 2025","Thu Dec 25 06:54:40 UTC 2025","10665","tests","test_suite","","","","test_login_and_form[data1]",""
"passed","Thu Dec 25 06:54:53 UTC 2025","Thu Dec 25 06:55:04 UTC 2025","10629","tests","test_suite","","","","test_login_and_form[data4]",""
"passed","Thu Dec 25 06:54:28 UTC 2025","Thu Dec 25 06:54:29 UTC 2025","1338","tests","test_suite","","","","test_login_and_form[data0]",""
"passed","Thu Dec 25 06:54:42 UTC 2025","Thu Dec 25 06:54:53 UTC 2025","11217","tests","test_suite","","","","test_login_and_form[data3]",""
"passed","Thu Dec 25 06:56:00 UTC 2025","Thu Dec 25 06:56:11 UTC 2025","10628","tests","test_suite","","","","test_login_and_form[data10]",""
"passed","Thu Dec 25 06:56:34 UTC 2025","Thu Dec 25 06:56:45 UTC 2025","11207","tests","test_suite","","","","test_login_and_form[data13]",""
"passed","Thu Dec 25 06:56:22 UTC 2025","Thu Dec 25 06:56:33 UTC 2025","11180","tests","test_suite","","","","test_login_and_form[data12]",""
"passed","Thu Dec 25 06:55:04 UTC 2025","Thu Dec 25 06:55:15 UTC 2025","10668","tests","test_suite","","","","test_login_and_form[data5]",""
"passed","Thu Dec 25 06:56:11 UTC 2025","Thu Dec 25 06:56:22 UTC 2025","10645","tests","test_suite","","","","test_login_and_form[data11]",""
